alpha,topology_preserved_pct,hierarchy_among_survivors_pct,joint_success_pct,loss_pct
0.0,68.0,61.76,42.0,32.0
0.01,64.0,50.0,32.0,36.0
0.02,74.0,48.65,36.0,26.0
0.03,74.0,48.65,36.0,26.0
0.04,74.0,59.46,44.0,26.0
0.05,76.0,68.42,52.0,24.0
0.06,78.0,61.54,48.0,22.0
0.07,78.0,64.1,50.0,22.0
0.08,78.0,69.23,54.0,22.0
0.09,76.0,78.95,60.0,24.0
0.1,78.0,76.92,60.0,22.0
0.11,80.0,82.5,66.0,20.0
0.12,84.0,80.95,68.0,16.0
0.13,82.0,75.61,62.0,18.0
0.14,82.0,75.61,62.0,18.0
0.15,82.0,85.37,70.0,18.0
0.16,84.0,83.33,70.0,16.0
0.17,84.0,78.57,66.0,16.0
0.18,86.0,79.07,68.0,14.0
0.19,86.0,79.07,68.0,14.0
0.2,84.0,83.33,70.0,16.0
0.21,84.0,80.95,68.0,16.0
0.22,84.0,80.95,68.0,16.0
0.23,80.0,85.0,68.0,20.0
0.24,84.0,83.33,70.0,16.0
0.25,84.0,85.71,72.0,16.0
0.26,84.0,88.1,74.0,16.0
0.27,84.0,83.33,70.0,16.0
0.28,82.0,85.37,70.0,18.0
0.29,82.0,87.8,72.0,18.0
0.3,80.0,87.5,70.0,20.0
0.31,80.0,90.0,72.0,20.0
0.32,82.0,90.24,74.0,18.0
0.33,84.0,88.1,74.0,16.0
0.34,82.0,85.37,70.0,18.0
0.35,78.0,84.62,66.0,22.0
0.36,78.0,79.49,62.0,22.0
0.37,78.0,79.49,62.0,22.0
0.38,78.0,84.62,66.0,22.0
0.39,78.0,87.18,68.0,22.0
0.4,80.0,90.0,72.0,20.0
0.41,78.0,87.18,68.0,22.0
0.42,76.0,89.47,68.0,24.0
0.43,78.0,87.18,68.0,22.0
0.44,80.0,85.0,68.0,20.0
0.45,82.0,87.8,72.0,18.0
0.46,82.0,90.24,74.0,18.0
0.47,84.0,90.48,76.0,16.0
0.48,82.0,90.24,74.0,18.0
0.49,80.0,92.5,74.0,20.0
0.5,78.0,92.31,72.0,22.0
0.51,76.0,89.47,68.0,24.0
0.52,74.0,89.19,66.0,26.0
0.53,72.0,86.11,62.0,28.0
0.54,70.0,85.71,60.0,30.0
0.55,70.0,85.71,60.0,30.0
0.56,68.0,88.24,60.0,32.0
0.57,72.0,83.33,60.0,28.0
0.58,70.0,82.86,58.0,30.0
0.59,70.0,82.86,58.0,30.0
0.6,70.0,97.14,68.0,30.0
0.61,76.0,92.11,70.0,24.0
0.62,76.0,94.74,72.0,24.0
0.63,76.0,89.47,68.0,24.0
0.64,78.0,87.18,68.0,22.0
0.65,76.0,89.47,68.0,24.0
0.66,74.0,91.89,68.0,26.0
0.67,74.0,86.49,64.0,26.0
0.68,76.0,86.84,66.0,24.0
0.69,78.0,89.74,70.0,22.0
0.7,80.0,92.5,74.0,20.0
0.71,76.0,92.11,70.0,24.0
0.72,74.0,91.89,68.0,26.0
0.73,76.0,92.11,70.0,24.0
0.74,70.0,97.14,68.0,30.0
0.75,70.0,97.14,68.0,30.0
0.76,72.0,94.44,68.0,28.0
0.77,68.0,85.29,58.0,32.0
0.78,64.0,90.62,58.0,36.0
0.79,64.0,93.75,60.0,36.0
0.8,60.0,96.67,58.0,40.0
0.81,60.0,90.0,54.0,40.0
0.82,60.0,93.33,56.0,40.0
0.83,62.0,93.55,58.0,38.0
0.84,56.0,92.86,52.0,44.0
0.85,54.0,88.89,48.0,46.0
0.86,52.0,96.15,50.0,48.0
0.87,54.0,85.19,46.0,46.0
0.88,48.0,83.33,40.0,52.0
0.89,50.0,88.0,44.0,50.0
0.9,48.0,83.33,40.0,52.0
0.91,46.0,91.3,42.0,54.0
0.92,42.0,95.24,40.0,58.0
0.93,36.0,94.44,34.0,64.0
0.94,36.0,94.44,34.0,64.0
0.95,36.0,100.0,36.0,64.0
0.96,36.0,94.44,34.0,64.0
0.97,38.0,100.0,38.0,62.0
0.98,38.0,100.0,38.0,62.0
0.99,38.0,94.74,36.0,62.0
1.0,42.0,95.24,40.0,58.0
