alpha,n_total,n_lost,n_proximal_first_loss,n_distal_first_loss,total_loss_pct,total_loss_ci_lo,total_loss_ci_hi,proximal_first_loss_pct,proximal_first_loss_ci_lo,proximal_first_loss_ci_hi,distal_first_loss_pct,distal_first_loss_ci_lo,distal_first_loss_ci_hi,proximal_share_of_losses_pct,distal_share_of_losses_pct
0.0,60,17,9,8,28.33,18.51,40.77,15.0,8.1,26.11,13.33,6.91,24.17,52.94,47.06
0.05,60,13,7,6,21.67,13.12,33.62,11.67,5.77,22.18,10.0,4.66,20.15,53.85,46.15
0.1,60,12,6,6,20.0,11.83,31.78,10.0,4.66,20.15,10.0,4.66,20.15,50.0,50.0
0.15,60,9,3,6,15.0,8.1,26.11,5.0,1.71,13.7,10.0,4.66,20.15,33.33,66.67
0.2,60,8,2,6,13.33,6.91,24.17,3.33,0.92,11.36,10.0,4.66,20.15,25.0,75.0
0.25,60,8,2,6,13.33,6.91,24.17,3.33,0.92,11.36,10.0,4.66,20.15,25.0,75.0
0.3,60,10,3,7,16.67,9.31,28.03,5.0,1.71,13.7,11.67,5.77,22.18,30.0,70.0
0.35,60,11,3,8,18.33,10.56,29.92,5.0,1.71,13.7,13.33,6.91,24.17,27.27,72.73
0.4,60,10,3,7,16.67,9.31,28.03,5.0,1.71,13.7,11.67,5.77,22.18,30.0,70.0
0.45,60,10,3,7,16.67,9.31,28.03,5.0,1.71,13.7,11.67,5.77,22.18,30.0,70.0
0.5,60,13,5,8,21.67,13.12,33.62,8.33,3.61,18.07,13.33,6.91,24.17,38.46,61.54
0.55,60,17,4,13,28.33,18.51,40.77,6.67,2.62,15.93,21.67,13.12,33.62,23.53,76.47
0.6,60,19,8,11,31.67,21.31,44.23,13.33,6.91,24.17,18.33,10.56,29.92,42.11,57.89
0.65,60,15,5,10,25.0,15.78,37.23,8.33,3.61,18.07,16.67,9.31,28.03,33.33,66.67
0.7,60,14,3,11,23.33,14.44,35.44,5.0,1.71,13.7,18.33,10.56,29.92,21.43,78.57
0.75,60,21,5,16,35.0,24.17,47.64,8.33,3.61,18.07,26.67,17.13,39.01,23.81,76.19
0.8,60,24,10,14,40.0,28.57,52.63,16.67,9.31,28.03,23.33,14.44,35.44,41.67,58.33
0.85,60,28,11,17,46.67,34.63,59.11,18.33,10.56,29.92,28.33,18.51,40.77,39.29,60.71
0.9,60,31,11,20,51.67,39.31,63.83,18.33,10.56,29.92,33.33,22.73,45.94,35.48,64.52
0.95,60,39,12,27,65.0,52.36,75.83,20.0,11.83,31.78,45.0,33.09,57.51,30.77,69.23
1.0,60,36,6,30,60.0,47.37,71.43,10.0,4.66,20.15,50.0,37.73,62.27,16.67,83.33
