alpha,alpha_label,step,time_days,branch,n_cumulative,loss_pct
0.0,alpha = 0.00,0,0.0,Proximal-first loss,0,0.0
0.0,alpha = 0.00,0,0.0,Distal-first loss,0,0.0
0.0,alpha = 0.00,1,0.1388888888888889,Proximal-first loss,0,0.0
0.0,alpha = 0.00,1,0.1388888888888889,Distal-first loss,0,0.0
0.0,alpha = 0.00,2,0.2777777777777778,Proximal-first loss,0,0.0
0.0,alpha = 0.00,2,0.2777777777777778,Distal-first loss,0,0.0
0.0,alpha = 0.00,3,0.4166666666666667,Proximal-first loss,0,0.0
0.0,alpha = 0.00,3,0.4166666666666667,Distal-first loss,0,0.0
0.0,alpha = 0.00,4,0.5555555555555556,Proximal-first loss,0,0.0
0.0,alpha = 0.00,4,0.5555555555555556,Distal-first loss,0,0.0
0.0,alpha = 0.00,5,0.6944444444444444,Proximal-first loss,0,0.0
0.0,alpha = 0.00,5,0.6944444444444444,Distal-first loss,0,0.0
0.0,alpha = 0.00,6,0.8333333333333334,Proximal-first loss,0,0.0
0.0,alpha = 0.00,6,0.8333333333333334,Distal-first loss,0,0.0
0.0,alpha = 0.00,7,0.9722222222222223,Proximal-first loss,0,0.0
0.0,alpha = 0.00,7,0.9722222222222223,Distal-first loss,0,0.0
0.0,alpha = 0.00,8,1.1111111111111112,Proximal-first loss,0,0.0
0.0,alpha = 0.00,8,1.1111111111111112,Distal-first loss,0,0.0
0.0,alpha = 0.00,9,1.25,Proximal-first loss,0,0.0
0.0,alpha = 0.00,9,1.25,Distal-first loss,0,0.0
0.0,alpha = 0.00,10,1.3888888888888888,Proximal-first loss,0,0.0
0.0,alpha = 0.00,10,1.3888888888888888,Distal-first loss,0,0.0
0.0,alpha = 0.00,11,1.527777777777778,Proximal-first loss,1,1.6666666666666667
0.0,alpha = 0.00,11,1.527777777777778,Distal-first loss,0,0.0
0.0,alpha = 0.00,12,1.6666666666666667,Proximal-first loss,1,1.6666666666666667
0.0,alpha = 0.00,12,1.6666666666666667,Distal-first loss,0,0.0
0.0,alpha = 0.00,13,1.8055555555555556,Proximal-first loss,2,3.3333333333333335
0.0,alpha = 0.00,13,1.8055555555555556,Distal-first loss,0,0.0
0.0,alpha = 0.00,14,1.9444444444444446,Proximal-first loss,2,3.3333333333333335
0.0,alpha = 0.00,14,1.9444444444444446,Distal-first loss,0,0.0
0.0,alpha = 0.00,15,2.0833333333333335,Proximal-first loss,2,3.3333333333333335
0.0,alpha = 0.00,15,2.0833333333333335,Distal-first loss,0,0.0
0.0,alpha = 0.00,16,2.2222222222222223,Proximal-first loss,3,5.0
0.0,alpha = 0.00,16,2.2222222222222223,Distal-first loss,0,0.0
0.0,alpha = 0.00,17,2.361111111111111,Proximal-first loss,4,6.666666666666667
0.0,alpha = 0.00,17,2.361111111111111,Distal-first loss,0,0.0
0.0,alpha = 0.00,18,2.5,Proximal-first loss,4,6.666666666666667
0.0,alpha = 0.00,18,2.5,Distal-first loss,0,0.0
0.0,alpha = 0.00,19,2.638888888888889,Proximal-first loss,5,8.333333333333334
0.0,alpha = 0.00,19,2.638888888888889,Distal-first loss,0,0.0
0.0,alpha = 0.00,20,2.7777777777777777,Proximal-first loss,6,10.0
0.0,alpha = 0.00,20,2.7777777777777777,Distal-first loss,0,0.0
0.0,alpha = 0.00,21,2.916666666666667,Proximal-first loss,7,11.666666666666666
0.0,alpha = 0.00,21,2.916666666666667,Distal-first loss,0,0.0
0.0,alpha = 0.00,22,3.055555555555556,Proximal-first loss,7,11.666666666666666
0.0,alpha = 0.00,22,3.055555555555556,Distal-first loss,0,0.0
0.0,alpha = 0.00,23,3.1944444444444446,Proximal-first loss,7,11.666666666666666
0.0,alpha = 0.00,23,3.1944444444444446,Distal-first loss,1,1.6666666666666667
0.0,alpha = 0.00,24,3.3333333333333335,Proximal-first loss,7,11.666666666666666
0.0,alpha = 0.00,24,3.3333333333333335,Distal-first loss,1,1.6666666666666667
0.0,alpha = 0.00,25,3.4722222222222223,Proximal-first loss,7,11.666666666666666
0.0,alpha = 0.00,25,3.4722222222222223,Distal-first loss,1,1.6666666666666667
0.0,alpha = 0.00,26,3.611111111111111,Proximal-first loss,8,13.333333333333334
0.0,alpha = 0.00,26,3.611111111111111,Distal-first loss,2,3.3333333333333335
0.0,alpha = 0.00,27,3.75,Proximal-first loss,8,13.333333333333334
0.0,alpha = 0.00,27,3.75,Distal-first loss,5,8.333333333333334
0.0,alpha = 0.00,28,3.8888888888888893,Proximal-first loss,8,13.333333333333334
0.0,alpha = 0.00,28,3.8888888888888893,Distal-first loss,6,10.0
0.0,alpha = 0.00,29,4.027777777777778,Proximal-first loss,8,13.333333333333334
0.0,alpha = 0.00,29,4.027777777777778,Distal-first loss,8,13.333333333333334
0.0,alpha = 0.00,30,4.166666666666667,Proximal-first loss,8,13.333333333333334
0.0,alpha = 0.00,30,4.166666666666667,Distal-first loss,8,13.333333333333334
0.0,alpha = 0.00,31,4.305555555555555,Proximal-first loss,8,13.333333333333334
0.0,alpha = 0.00,31,4.305555555555555,Distal-first loss,8,13.333333333333334
0.0,alpha = 0.00,32,4.444444444444445,Proximal-first loss,8,13.333333333333334
0.0,alpha = 0.00,32,4.444444444444445,Distal-first loss,8,13.333333333333334
0.0,alpha = 0.00,33,4.583333333333334,Proximal-first loss,9,15.0
0.0,alpha = 0.00,33,4.583333333333334,Distal-first loss,8,13.333333333333334
0.0,alpha = 0.00,34,4.722222222222222,Proximal-first loss,9,15.0
0.0,alpha = 0.00,34,4.722222222222222,Distal-first loss,8,13.333333333333334
0.0,alpha = 0.00,35,4.861111111111112,Proximal-first loss,9,15.0
0.0,alpha = 0.00,35,4.861111111111112,Distal-first loss,8,13.333333333333334
0.0,alpha = 0.00,36,5.0,Proximal-first loss,9,15.0
0.0,alpha = 0.00,36,5.0,Distal-first loss,8,13.333333333333334
1.0,alpha = 1.00,0,0.0,Proximal-first loss,0,0.0
1.0,alpha = 1.00,0,0.0,Distal-first loss,0,0.0
1.0,alpha = 1.00,1,0.1388888888888889,Proximal-first loss,0,0.0
1.0,alpha = 1.00,1,0.1388888888888889,Distal-first loss,0,0.0
1.0,alpha = 1.00,2,0.2777777777777778,Proximal-first loss,0,0.0
1.0,alpha = 1.00,2,0.2777777777777778,Distal-first loss,0,0.0
1.0,alpha = 1.00,3,0.4166666666666667,Proximal-first loss,0,0.0
1.0,alpha = 1.00,3,0.4166666666666667,Distal-first loss,0,0.0
1.0,alpha = 1.00,4,0.5555555555555556,Proximal-first loss,0,0.0
1.0,alpha = 1.00,4,0.5555555555555556,Distal-first loss,0,0.0
1.0,alpha = 1.00,5,0.6944444444444444,Proximal-first loss,0,0.0
1.0,alpha = 1.00,5,0.6944444444444444,Distal-first loss,0,0.0
1.0,alpha = 1.00,6,0.8333333333333334,Proximal-first loss,0,0.0
1.0,alpha = 1.00,6,0.8333333333333334,Distal-first loss,0,0.0
1.0,alpha = 1.00,7,0.9722222222222223,Proximal-first loss,0,0.0
1.0,alpha = 1.00,7,0.9722222222222223,Distal-first loss,0,0.0
1.0,alpha = 1.00,8,1.1111111111111112,Proximal-first loss,0,0.0
1.0,alpha = 1.00,8,1.1111111111111112,Distal-first loss,0,0.0
1.0,alpha = 1.00,9,1.25,Proximal-first loss,0,0.0
1.0,alpha = 1.00,9,1.25,Distal-first loss,0,0.0
1.0,alpha = 1.00,10,1.3888888888888888,Proximal-first loss,0,0.0
1.0,alpha = 1.00,10,1.3888888888888888,Distal-first loss,0,0.0
1.0,alpha = 1.00,11,1.527777777777778,Proximal-first loss,0,0.0
1.0,alpha = 1.00,11,1.527777777777778,Distal-first loss,0,0.0
1.0,alpha = 1.00,12,1.6666666666666667,Proximal-first loss,1,1.6666666666666667
1.0,alpha = 1.00,12,1.6666666666666667,Distal-first loss,0,0.0
1.0,alpha = 1.00,13,1.8055555555555556,Proximal-first loss,1,1.6666666666666667
1.0,alpha = 1.00,13,1.8055555555555556,Distal-first loss,0,0.0
1.0,alpha = 1.00,14,1.9444444444444446,Proximal-first loss,1,1.6666666666666667
1.0,alpha = 1.00,14,1.9444444444444446,Distal-first loss,0,0.0
1.0,alpha = 1.00,15,2.0833333333333335,Proximal-first loss,1,1.6666666666666667
1.0,alpha = 1.00,15,2.0833333333333335,Distal-first loss,0,0.0
1.0,alpha = 1.00,16,2.2222222222222223,Proximal-first loss,2,3.3333333333333335
1.0,alpha = 1.00,16,2.2222222222222223,Distal-first loss,0,0.0
1.0,alpha = 1.00,17,2.361111111111111,Proximal-first loss,2,3.3333333333333335
1.0,alpha = 1.00,17,2.361111111111111,Distal-first loss,0,0.0
1.0,alpha = 1.00,18,2.5,Proximal-first loss,3,5.0
1.0,alpha = 1.00,18,2.5,Distal-first loss,0,0.0
1.0,alpha = 1.00,19,2.638888888888889,Proximal-first loss,4,6.666666666666667
1.0,alpha = 1.00,19,2.638888888888889,Distal-first loss,0,0.0
1.0,alpha = 1.00,20,2.7777777777777777,Proximal-first loss,4,6.666666666666667
1.0,alpha = 1.00,20,2.7777777777777777,Distal-first loss,0,0.0
1.0,alpha = 1.00,21,2.916666666666667,Proximal-first loss,4,6.666666666666667
1.0,alpha = 1.00,21,2.916666666666667,Distal-first loss,3,5.0
1.0,alpha = 1.00,22,3.055555555555556,Proximal-first loss,4,6.666666666666667
1.0,alpha = 1.00,22,3.055555555555556,Distal-first loss,6,10.0
1.0,alpha = 1.00,23,3.1944444444444446,Proximal-first loss,4,6.666666666666667
1.0,alpha = 1.00,23,3.1944444444444446,Distal-first loss,6,10.0
1.0,alpha = 1.00,24,3.3333333333333335,Proximal-first loss,4,6.666666666666667
1.0,alpha = 1.00,24,3.3333333333333335,Distal-first loss,7,11.666666666666666
1.0,alpha = 1.00,25,3.4722222222222223,Proximal-first loss,4,6.666666666666667
1.0,alpha = 1.00,25,3.4722222222222223,Distal-first loss,7,11.666666666666666
1.0,alpha = 1.00,26,3.611111111111111,Proximal-first loss,4,6.666666666666667
1.0,alpha = 1.00,26,3.611111111111111,Distal-first loss,9,15.0
1.0,alpha = 1.00,27,3.75,Proximal-first loss,4,6.666666666666667
1.0,alpha = 1.00,27,3.75,Distal-first loss,9,15.0
1.0,alpha = 1.00,28,3.8888888888888893,Proximal-first loss,4,6.666666666666667
1.0,alpha = 1.00,28,3.8888888888888893,Distal-first loss,10,16.666666666666668
1.0,alpha = 1.00,29,4.027777777777778,Proximal-first loss,5,8.333333333333334
1.0,alpha = 1.00,29,4.027777777777778,Distal-first loss,10,16.666666666666668
1.0,alpha = 1.00,30,4.166666666666667,Proximal-first loss,5,8.333333333333334
1.0,alpha = 1.00,30,4.166666666666667,Distal-first loss,14,23.333333333333332
1.0,alpha = 1.00,31,4.305555555555555,Proximal-first loss,6,10.0
1.0,alpha = 1.00,31,4.305555555555555,Distal-first loss,16,26.666666666666668
1.0,alpha = 1.00,32,4.444444444444445,Proximal-first loss,6,10.0
1.0,alpha = 1.00,32,4.444444444444445,Distal-first loss,20,33.333333333333336
1.0,alpha = 1.00,33,4.583333333333334,Proximal-first loss,6,10.0
1.0,alpha = 1.00,33,4.583333333333334,Distal-first loss,24,40.0
1.0,alpha = 1.00,34,4.722222222222222,Proximal-first loss,6,10.0
1.0,alpha = 1.00,34,4.722222222222222,Distal-first loss,25,41.666666666666664
1.0,alpha = 1.00,35,4.861111111111112,Proximal-first loss,6,10.0
1.0,alpha = 1.00,35,4.861111111111112,Distal-first loss,25,41.666666666666664
1.0,alpha = 1.00,36,5.0,Proximal-first loss,6,10.0
1.0,alpha = 1.00,36,5.0,Distal-first loss,30,50.0
