alpha,total_pct,proximal_pct,distal_pct,n_total
0.0,32.0,14.0,6.0,50
0.01,36.0,12.0,6.0,50
0.02,26.0,10.0,6.0,50
0.03,26.0,12.0,4.0,50
0.04,26.0,12.0,4.0,50
0.05,24.0,12.0,4.0,50
0.06,22.0,10.0,4.0,50
0.07,22.0,10.0,4.0,50
0.08,22.0,10.0,4.0,50
0.09,24.0,4.0,6.0,50
0.1,22.0,6.0,4.0,50
0.11,20.0,8.0,4.0,50
0.12,16.0,6.0,4.0,50
0.13,18.0,6.0,10.0,50
0.14,18.0,6.0,10.0,50
0.15,18.0,6.0,10.0,50
0.16,16.0,2.0,10.0,50
0.17,16.0,0.0,12.0,50
0.18,14.0,0.0,10.0,50
0.19,14.0,0.0,10.0,50
0.2,16.0,2.0,10.0,50
0.21,16.0,2.0,10.0,50
0.22,16.0,2.0,10.0,50
0.23,20.0,2.0,10.0,50
0.24,16.0,2.0,10.0,50
0.25,16.0,2.0,10.0,50
0.26,16.0,2.0,10.0,50
0.27,16.0,2.0,10.0,50
0.28,18.0,2.0,12.0,50
0.29,18.0,2.0,12.0,50
0.3,20.0,2.0,12.0,50
0.31,20.0,2.0,12.0,50
0.32,18.0,2.0,12.0,50
0.33,16.0,4.0,12.0,50
0.34,18.0,4.0,12.0,50
0.35,22.0,6.0,12.0,50
0.36,22.0,6.0,12.0,50
0.37,22.0,6.0,12.0,50
0.38,22.0,6.0,14.0,50
0.39,22.0,6.0,14.0,50
0.4,20.0,6.0,12.0,50
0.41,22.0,6.0,14.0,50
0.42,24.0,8.0,14.0,50
0.43,22.0,6.0,16.0,50
0.44,20.0,4.0,14.0,50
0.45,18.0,4.0,10.0,50
0.46,18.0,4.0,10.0,50
0.47,16.0,4.0,10.0,50
0.48,18.0,6.0,12.0,50
0.49,20.0,6.0,14.0,50
0.5,22.0,8.0,14.0,50
0.51,24.0,10.0,14.0,50
0.52,26.0,10.0,14.0,50
0.53,28.0,8.0,18.0,50
0.54,30.0,8.0,22.0,50
0.55,30.0,8.0,22.0,50
0.56,32.0,8.0,24.0,50
0.57,28.0,8.0,20.0,50
0.58,30.0,10.0,18.0,50
0.59,30.0,10.0,18.0,50
0.6,30.0,10.0,18.0,50
0.61,24.0,6.0,18.0,50
0.62,24.0,6.0,18.0,50
0.63,24.0,6.0,18.0,50
0.64,22.0,4.0,18.0,50
0.65,24.0,6.0,18.0,50
0.66,26.0,6.0,20.0,50
0.67,26.0,4.0,22.0,50
0.68,24.0,2.0,22.0,50
0.69,22.0,2.0,20.0,50
0.7,20.0,2.0,18.0,50
0.71,24.0,4.0,20.0,50
0.72,26.0,6.0,20.0,50
0.73,24.0,4.0,20.0,50
0.74,30.0,6.0,22.0,50
0.75,30.0,6.0,22.0,50
0.76,28.0,6.0,22.0,50
0.77,32.0,8.0,24.0,50
0.78,36.0,12.0,24.0,50
0.79,36.0,12.0,24.0,50
0.8,40.0,16.0,24.0,50
0.81,40.0,16.0,24.0,50
0.82,40.0,14.0,26.0,50
0.83,38.0,14.0,24.0,50
0.84,44.0,18.0,26.0,50
0.85,46.0,16.0,30.0,50
0.86,48.0,16.0,32.0,50
0.87,46.0,12.0,34.0,50
0.88,52.0,14.0,36.0,50
0.89,50.0,12.0,38.0,50
0.9,52.0,16.0,36.0,50
0.91,54.0,14.0,40.0,50
0.92,58.0,16.0,42.0,50
0.93,64.0,18.0,46.0,50
0.94,64.0,20.0,44.0,50
0.95,64.0,18.0,46.0,50
0.96,64.0,16.0,48.0,50
0.97,62.0,14.0,48.0,50
0.98,62.0,16.0,46.0,50
0.99,62.0,12.0,50.0,50
1.0,58.0,8.0,50.0,50
